iter	RMSE
0	16.72205665
1	15.48619904
2	14.39943484
3	13.44537538
4	12.60986688
5	11.87876701
6	11.24397429
7	10.69777409
8	10.21639522
9	9.78861466
10	9.417516452
11	9.095172835
12	8.797577533
13	8.545881589
14	8.327337446
15	8.113484605
16	7.942145349
17	7.778032085
18	7.620105805
19	7.498598717
20	7.366520793
21	7.266773567
22	7.179518413
23	7.09911358
24	7.006082153
25	6.944085706
26	6.88885996
27	6.83622366
28	6.76962208
29	6.728869321
30	6.686392921
31	6.642562912
32	6.586239873
33	6.553991765
34	6.520575363
35	6.485563475
36	6.455165766
37	6.430686465
38	6.405213957
39	6.37750741
40	6.359835281
41	6.342393846
42	6.311579934
43	6.291850669
44	6.265253364
45	6.243619776
46	6.22998465
47	6.216564693
48	6.20152023
49	6.183040547
50	6.170928802
51	6.160339996
52	6.147312663
53	6.137464598
54	6.117710124
55	6.11156435
56	6.096029749
57	6.08825645
58	6.073312701
59	6.064727637
60	6.057337202
61	6.049336308
62	6.042099186
63	6.033971526
64	6.019006405
65	6.007386488
66	5.99400192
67	5.98749176
68	5.975617645
69	5.969742364
70	5.963687099
71	5.958806528
72	5.95404486
73	5.946643556
74	5.941469756
75	5.930976945
76	5.922531516
77	5.918625445
78	5.914633841
79	5.912231133
80	5.905412259
81	5.902179442
82	5.893756863
83	5.890487101
84	5.886817758
85	5.882820886
86	5.879982267
87	5.87497417
88	5.87204759
89	5.863730258
90	5.862500998
91	5.859468485
92	5.857184467
93	5.854230962
94	5.852413499
95	5.849791243
96	5.846669451
97	5.844744962
98	5.83998807
99	5.838606907
100	5.834243097
101	5.829359925
102	5.827180216
103	5.824874477
104	5.822179859
105	5.820644228
106	5.817996106
107	5.816221566
108	5.814743984
109	5.813980189
110	5.812042606
111	5.810854848
112	5.808934189
113	5.806878409
114	5.804662151
115	5.802864307
116	5.801272074
117	5.799439256
118	5.797561164
119	5.793502922
120	5.791005419
121	5.787053689
122	5.782898044
123	5.782289585
124	5.777262209
125	5.775351357
126	5.773325384
127	5.769930617
128	5.765912431
129	5.763245822
130	5.761643056
131	5.760605466
132	5.759372733
133	5.757587833
134	5.753917759
135	5.753122118
136	5.751898001
137	5.748203633
138	5.747513649
139	5.745905243
140	5.74321159
141	5.740637458
142	5.738909232
143	5.737794147
144	5.736362866
145	5.734683556
146	5.734049896
147	5.732195794
148	5.731538208
149	5.730355955
150	5.728457727
151	5.725340388
152	5.722182985
153	5.721717978
154	5.720782818
155	5.719859249
156	5.718626543
157	5.716741208
158	5.71529311
159	5.713766964
160	5.712620512
161	5.710757561
162	5.709167376
163	5.707684149
164	5.707262101
165	5.706453228
166	5.704757334
167	5.703430081
