TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
39972,ADANA,SEYHAN,Adana Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,481.29,0.4,495.0615,0.03,488.17575
49276,ADANA,SEYHAN,Seyhan Borsa İstanbul Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,472.7874,0.86,482.2739,0.35,477.53065000000004
40054,ADANA,KOZAN,Kozan Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,443.4358,3.57,493.4272,0.05,468.4315
50719,ADANA,CEYHAN,Eczacı Bahattin-Sevinç Erdinç Fen Lisesi,Fen Lisesi,FEN BİLİMLERİ ALANI (FEN LİS.),İngilizce,424.3584,6.05,461.6034,1.7,442.9809
40942,ADANA,SARIÇAM,Bahtiyar Vahabzade Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,362.885,17.36,401.3372,9.7,382.11109999999996
40784,ADANA,CEYHAN,Ceyhan Ticaret Borsası Sosyal Bilimler Lisesi,Hazırlık Sınıfı Bulunmayan Sosyal Bilimler Lisesi,,İngilizce,337.0565,23.92,411.5364,7.99,374.29645000000005
49566,ADANA,ÇUKUROVA,Adana Anadolu Lisesi,Anadolu Lisesi,,İngilizce,462.2674,1.65,480.9276,0.42,471.59749999999997
39999,ADANA,ÇUKUROVA,ÇEAS Anadolu Lisesi,Anadolu Lisesi,,İngilizce,451.3171,2.69,465.3356,1.39,458.32635
50732,ADANA,ÇUKUROVA,İsmail Safa Özler Anadolu Lisesi,Anadolu Lisesi,,İngilizce,444.4483,3.45,460.9206,1.77,452.68444999999997
50731,ADANA,ÇUKUROVA,İsmail Safa Özler Anadolu Lisesi,Anadolu Lisesi,,Almanca,443.1009,3.61,459.4306,1.9,451.26575
41105,ADANA,ÇUKUROVA,Piri Reis Anadolu Lisesi,Anadolu Lisesi,,İngilizce,438.8354,4.12,461.9088,1.68,450.3721
50536,ADANA,SARIÇAM,Adana Ticaret Odası Anadolu Lisesi,Anadolu Lisesi,,İngilizce,428.5497,5.44,449.8045,2.84,439.1771
50194,ADANA,ÇUKUROVA,Sungurbey Anadolu Lisesi,Anadolu Lisesi,,İngilizce,425.4428,5.88,445.3503,3.34,435.39655
