TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
39972,adana,seyhan,adana fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,481.29,0.4,495.0615,0.03,488.17575
49276,adana,seyhan,seyhan borsa istanbul fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,472.7874,0.86,482.2739,0.35,477.53065000000004
40054,adana,kozan,kozan fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,443.4358,3.57,493.4272,0.05,468.4315
50719,adana,ceyhan,eczaci bahattin-sevinc erdinc fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,424.3584,6.05,461.6034,1.7,442.9809
40942,adana,saricam,bahtiyar vahabzade sosyal bilimler lisesi,hazirlik sinifi bulunmayan sosyal bilimler lisesi,,ingilizce,362.885,17.36,401.3372,9.7,382.11109999999996
40784,adana,ceyhan,ceyhan ticaret borsasi sosyal bilimler lisesi,hazirlik sinifi bulunmayan sosyal bilimler lisesi,,ingilizce,337.0565,23.92,411.5364,7.99,374.29645000000005
49566,adana,cukurova,adana anadolu lisesi,anadolu lisesi,,ingilizce,462.2674,1.65,480.9276,0.42,471.59749999999997
39999,adana,cukurova,ceas anadolu lisesi,anadolu lisesi,,ingilizce,451.3171,2.69,465.3356,1.39,458.32635
50732,adana,cukurova,ismail safa ozler anadolu lisesi,anadolu lisesi,,ingilizce,444.4483,3.45,460.9206,1.77,452.68444999999997
50731,adana,cukurova,ismail safa ozler anadolu lisesi,anadolu lisesi,,almanca,443.1009,3.61,459.4306,1.9,451.26575
41105,adana,cukurova,piri reis anadolu lisesi,anadolu lisesi,,ingilizce,438.8354,4.12,461.9088,1.68,450.3721
50536,adana,saricam,adana ticaret odasi anadolu lisesi,anadolu lisesi,,ingilizce,428.5497,5.44,449.8045,2.84,439.1771
50194,adana,cukurova,sungurbey anadolu lisesi,anadolu lisesi,,ingilizce,425.4428,5.88,445.3503,3.34,435.39655
49619,adana,yuregir,seyhan rotary anadolu lisesi,anadolu lisesi,,ingilizce,416.8971,7.16,432.7283,4.89,424.8127
49400,adana,seyhan,gazi anadolu lisesi,anadolu lisesi,,ingilizce,414.9204,7.47,433.7801,4.75,424.35024999999996
49955,adana,seyhan,seyhan danisment gazi anadolu lisesi,anadolu lisesi,,ingilizce,406.18,8.88,435.1059,4.58,420.64295000000004
